Inflight wifi service,Age,Flight Distance,Class,Online boarding,Checkin service,Loyal Customer,Seat comfort,Leg room service,Business Travel
3,26,253,1,3,4,0,3,5,1
5,57,2973,3,4,5,1,5,4,1
3,30,323,1,3,4,1,1,1,0
5,56,109,2,3,4,1,1,5,1
3,8,1620,3,2,3,1,2,5,1
5,42,3648,3,4,3,1,5,4,1
1,57,1635,3,4,4,1,5,4,1
3,53,1504,3,5,3,1,4,3,1
2,44,1464,3,2,3,1,2,1,1
3,60,1624,3,4,2,1,3,3,1
3,59,2021,3,4,5,1,4,4,1
3,36,2724,3,2,4,1,5,5,1
1,69,2239,1,1,3,1,5,2,0
2,30,1546,3,2,1,1,2,2,1
3,28,1337,3,4,5,1,4,4,1
3,39,197,3,3,3,1,3,2,1
5,22,1674,3,5,5,1,5,2,1
3,23,371,1,3,2,1,5,5,0
1,57,187,3,4,3,1,1,4,1
1,58,479,3,4,5,1,5,4,1
3,41,813,2,3,1,1,3,5,1
4,29,622,1,4,2,0,5,5,1
5,25,813,3,5,4,0,5,2,1
2,44,1068,1,2,4,1,2,5,1
3,34,3141,3,4,4,1,4,4,1
2,62,1009,1,2,3,1,4,3,0
3,51,3382,3,5,5,1,5,4,1
2,39,528,3,5,4,1,5,5,1
3,47,125,1,3,3,1,1,3,1
4,26,491,3,4,3,1,4,4,1
3,59,1979,1,5,2,1,5,3,0
2,16,957,1,2,3,1,4,1,1
4,51,1097,2,4,4,1,4,4,1
2,34,757,1,2,4,1,4,5,0
3,27,1068,1,3,1,0,2,4,1
2,63,209,1,2,2,1,2,2,1
1,59,1626,3,5,3,1,4,5,1
3,30,413,1,3,3,1,3,3,0
4,30,866,1,4,1,1,4,4,1
3,54,2239,1,3,3,1,3,1,1
3,28,3841,3,4,4,1,4,4,1
5,17,2595,3,4,3,1,4,2,1
2,43,2605,3,3,3,1,3,2,1
3,49,2952,3,4,4,1,5,2,1
1,60,1009,2,1,3,1,5,1,0
2,32,944,1,1,3,1,4,2,0
4,58,302,1,4,5,1,4,2,1
3,51,1743,3,4,4,1,4,4,1
1,40,448,3,2,1,1,5,4,1
1,22,992,1,0,3,0,4,3,1
5,54,628,2,3,2,1,1,5,1
1,58,280,1,5,4,1,4,1,0
4,65,1042,3,5,5,1,4,4,0
2,48,4000,3,5,3,1,4,5,1
1,60,2771,3,4,3,1,4,2,1
0,22,337,1,0,1,0,3,4,1
3,26,1874,3,4,5,1,4,3,1
3,34,738,1,3,2,0,2,5,1
2,26,1127,3,5,3,1,4,5,1
3,49,1009,2,4,2,1,3,3,1
4,12,546,1,4,2,1,1,5,0
1,36,748,3,1,5,0,1,2,1
3,54,227,1,4,5,1,4,3,0
1,38,707,1,1,3,0,3,1,1
3,53,2235,3,4,4,1,5,4,1
1,48,1726,3,3,5,1,5,2,1
1,54,684,2,3,1,1,3,1,0
4,43,192,1,4,4,1,4,4,1
1,12,442,1,1,2,1,2,4,0
4,10,802,1,4,4,1,5,2,0
1,39,1884,3,4,3,1,4,5,1
3,72,308,1,3,2,1,3,3,1
1,54,259,1,1,5,1,2,1,0
2,44,1990,3,3,1,1,3,2,1
3,49,920,1,4,5,1,4,3,0
3,56,3296,3,3,2,1,2,3,1
2,30,655,1,3,5,1,2,4,0
3,36,2565,3,2,4,0,2,3,1
4,38,129,1,4,4,0,2,5,1
3,24,920,1,3,3,1,3,4,0
2,48,631,3,4,3,1,4,4,1
2,54,2484,3,4,5,1,5,4,1
2,54,2129,3,3,2,1,4,2,1
1,12,1096,1,1,3,1,1,4,0
5,46,2139,3,5,4,1,4,5,1
2,70,550,3,4,4,1,4,2,0
5,64,224,3,4,3,1,4,4,1
4,9,2288,3,4,4,1,4,3,1
4,63,115,2,4,4,1,4,4,1
4,18,1041,1,4,3,0,4,5,1
1,10,2556,1,2,4,1,2,3,0
2,27,1134,3,2,3,0,1,2,1
4,25,304,3,4,5,0,5,5,1
1,51,2556,1,1,1,1,1,4,1
1,36,312,1,1,4,1,5,5,0
3,71,431,3,3,4,1,2,2,1
3,35,311,1,5,5,1,1,4,0
2,40,2077,3,4,4,1,4,4,1
1,60,491,1,1,5,1,5,2,0
1,69,2134,3,2,5,1,3,4,1
2,37,226,1,2,1,1,2,4,1
2,56,1852,3,1,4,1,4,5,1
4,42,731,3,4,5,0,2,4,1
5,20,650,3,5,4,0,1,4,1
3,20,153,1,2,2,0,1,1,1
3,38,1710,3,3,2,1,3,4,1
2,47,1874,1,4,2,1,3,2,1
3,47,1056,1,3,4,1,4,1,0
4,60,3694,3,5,4,1,4,5,1
0,52,748,1,5,5,1,4,0,0
1,45,406,2,1,1,1,1,3,1
3,68,1024,3,4,4,1,4,3,0
3,24,448,1,3,1,0,4,4,1
2,45,1833,3,2,5,1,3,2,1
2,25,277,1,2,1,1,3,1,0
5,24,1476,3,5,5,1,5,1,1
1,29,710,1,1,1,0,3,3,1
2,55,2565,3,4,4,1,4,3,1
1,11,956,2,1,4,1,3,4,1
3,42,447,1,4,4,1,1,4,0
5,51,404,3,4,4,1,5,5,1
5,18,868,1,4,2,1,2,2,0
5,57,86,1,5,3,1,5,5,1
3,29,1546,2,3,5,1,4,4,0
4,16,545,1,4,1,1,3,1,1
2,67,406,1,5,3,1,4,2,0
5,38,2710,3,4,5,1,5,4,1
1,47,763,2,5,3,1,4,0,0
2,17,409,1,2,5,1,5,4,0
2,27,1050,3,2,4,0,1,5,1
4,43,74,1,4,4,1,3,4,1
1,36,642,1,1,2,0,2,2,1
4,56,331,1,4,5,1,4,5,1
4,11,634,1,4,3,1,1,2,0
3,14,532,1,3,3,1,1,3,0
2,30,1531,3,5,3,1,5,3,1
3,62,1488,1,3,1,1,5,1,0
1,38,323,1,1,2,1,1,2,0
3,23,628,1,3,4,0,3,2,1
2,56,1846,1,2,1,1,3,2,0
2,59,429,1,2,3,0,3,3,1
5,45,1670,3,4,4,1,5,4,1
2,49,2974,3,4,3,1,4,4,1
3,45,1464,3,5,4,1,4,5,1
1,28,448,3,1,3,0,3,4,1
4,57,696,3,5,4,1,4,4,1
2,32,541,1,2,3,1,5,4,0
5,25,628,2,5,4,1,4,2,1
4,33,677,1,4,5,1,1,2,0
2,23,152,2,2,4,0,3,1,1
5,59,442,3,2,2,1,1,4,1
5,19,994,3,5,5,0,5,5,1
5,23,612,3,5,4,1,5,4,1
4,46,3064,3,4,4,1,4,4,1
5,52,954,1,2,4,1,1,5,1
2,34,3364,3,4,1,1,4,2,1
4,46,843,1,4,4,1,4,2,0
1,56,787,1,1,3,1,1,1,0
2,58,3266,3,5,5,1,5,5,1
4,36,214,3,4,4,0,5,4,1
3,37,814,3,3,5,0,3,2,1
4,54,583,1,4,1,1,4,2,1
4,35,112,1,4,2,1,4,2,1
2,34,2506,3,4,4,1,4,2,1
4,41,1635,3,5,4,1,4,5,1
5,18,239,1,5,2,0,1,5,1
1,43,404,3,4,3,1,5,1,0
2,28,781,1,2,3,1,2,4,0
4,30,270,1,4,5,1,5,5,0
5,42,3358,3,4,5,1,4,4,1
5,21,824,1,3,3,0,3,5,1
2,59,468,1,2,5,1,3,2,0
2,8,2615,1,5,3,1,3,3,0
2,47,191,1,2,1,1,2,5,1
2,39,84,1,2,2,0,4,3,1
4,49,427,2,4,5,1,5,5,0
5,48,302,1,5,3,0,3,4,1
0,46,3407,3,5,5,1,5,5,1
1,48,1506,3,5,3,1,5,4,1
4,58,1810,3,2,2,1,2,5,1
2,22,1029,1,2,1,0,1,4,1
4,51,86,1,4,2,1,4,2,1
2,27,287,3,2,3,0,5,2,1
5,42,715,1,5,5,1,5,3,1
5,46,449,1,4,5,1,5,5,0
3,50,1605,2,3,4,1,5,3,0
4,38,368,3,5,5,1,5,4,1
5,17,570,1,5,4,1,5,1,0
2,35,2650,3,2,2,1,3,2,1
1,27,628,3,1,3,1,1,1,1
1,27,928,1,1,4,0,4,3,1
4,21,1587,3,4,3,0,3,4,1
4,57,1608,2,5,4,1,5,4,0
5,37,1619,1,5,4,1,2,4,0
1,32,328,2,1,5,1,5,3,0
3,57,175,3,2,3,1,3,2,1
5,40,2657,3,2,3,1,1,2,1
5,21,248,3,5,3,0,4,5,1
4,57,806,3,5,3,1,4,4,1
4,44,1276,3,4,5,0,3,4,1
3,59,825,1,4,4,1,2,2,0
3,52,1749,3,4,5,1,5,5,1
3,22,102,1,3,1,1,1,5,1
2,40,2243,3,5,3,1,5,4,1
5,60,1035,1,4,1,1,1,5,1
5,59,2358,3,4,4,1,5,4,1
3,45,1475,1,3,5,1,1,5,0
3,28,896,1,3,4,1,3,3,0
2,66,451,1,5,4,1,1,3,0
3,17,1013,1,3,1,1,1,1,0
4,40,2504,1,5,2,1,4,3,0
2,11,1210,1,2,3,0,4,3,1
3,69,1721,3,2,2,1,3,3,0
2,61,404,2,2,4,1,3,5,0
2,64,259,3,2,4,0,4,1,1
3,44,101,1,2,1,0,3,4,1
3,43,3103,3,2,2,1,3,3,1
2,23,1266,1,1,5,0,2,4,1
4,51,297,1,5,3,1,5,4,0
4,49,377,3,5,3,1,5,5,1
5,48,1086,1,5,3,1,5,5,1
2,24,227,1,2,4,1,3,4,0
3,26,1846,3,5,4,1,5,5,1
1,30,692,1,1,5,1,3,4,0
3,59,541,1,5,4,1,4,3,0
3,12,247,2,3,3,1,1,5,0
1,22,2109,3,1,2,1,1,2,1
2,39,783,2,2,2,1,2,2,1
2,60,337,3,5,4,1,2,4,1
3,42,762,1,4,4,1,4,3,1
3,38,319,1,1,1,0,1,3,1
4,46,1204,1,5,2,1,4,4,0
3,68,281,1,3,1,1,4,4,0
4,67,972,1,4,3,1,3,5,0
0,50,235,3,4,3,1,5,1,1
4,28,752,3,4,4,1,4,5,1
3,35,290,1,3,4,1,2,3,0
5,49,1726,3,3,5,1,4,5,1
3,57,2739,3,5,5,1,4,4,1
5,57,646,3,5,3,1,4,3,1
2,35,370,3,5,3,1,5,3,1
3,44,2486,3,4,5,1,5,2,1
2,33,558,3,2,5,1,1,5,1
1,44,458,3,5,4,1,4,5,1
3,45,229,2,3,3,1,4,5,1
4,51,646,2,2,3,1,3,4,0
5,28,3965,3,4,3,1,4,4,1
3,60,409,1,3,1,1,3,3,0
0,54,391,1,5,3,1,5,0,0
2,68,526,1,2,2,1,1,2,0
4,58,761,1,4,3,1,4,3,0
3,37,1096,3,3,4,0,5,2,1
3,20,1947,1,3,3,1,4,2,0
5,58,2354,3,5,5,1,4,5,1
5,22,1947,1,5,4,1,5,2,1
5,37,1069,2,5,4,1,5,2,1
3,30,2896,3,3,1,1,3,4,1
2,32,308,3,2,3,0,5,3,1
4,30,2883,3,4,5,1,4,5,1
5,25,423,3,4,5,0,3,4,1
2,54,1696,3,5,3,1,4,5,1
5,49,425,1,3,1,1,3,5,0
2,39,1055,1,2,3,1,2,4,0
2,38,414,3,2,4,0,1,3,1
3,40,337,3,5,4,1,4,4,1
4,52,3073,3,4,4,1,5,3,1
3,64,202,3,4,2,1,3,1,1
4,63,1201,1,4,4,1,2,4,0
3,42,3044,3,5,4,1,4,5,1
1,29,909,1,1,4,1,4,2,0
2,25,429,1,2,2,1,2,3,0
2,54,726,1,4,3,1,3,2,0
3,38,646,1,3,3,1,4,1,0
5,24,325,3,5,3,0,1,4,1
4,21,257,1,4,4,1,4,3,0
5,41,954,1,5,5,1,4,5,1
5,22,882,3,5,5,0,2,2,1
3,35,404,3,5,3,1,4,5,1
3,59,3397,3,5,4,1,4,3,1
1,28,1744,1,4,4,1,4,3,0
5,47,522,3,2,1,1,1,4,1
1,11,362,1,1,5,1,1,4,0
5,52,1593,3,4,4,1,5,4,1
3,34,507,1,3,4,1,1,3,0
5,35,2704,3,4,4,1,5,5,1
5,56,719,3,4,5,1,4,5,1
1,39,1865,3,1,3,0,1,5,1
2,43,474,1,2,2,0,1,3,1
1,40,2724,3,5,4,1,5,4,1
2,40,1574,3,5,5,1,5,4,1
1,52,507,3,4,2,1,4,1,1
3,42,925,3,5,5,1,5,4,1
2,27,763,1,3,5,1,2,3,0
3,20,408,1,3,3,0,2,5,1
5,46,1590,3,4,3,1,4,4,1
4,50,1242,1,4,4,1,4,2,0
1,39,882,3,5,5,1,5,2,1
3,40,3954,3,2,1,1,2,4,1
5,58,370,1,2,1,1,3,5,0
2,8,160,3,2,3,1,3,3,0
2,54,270,3,5,3,1,1,4,1
1,39,3875,3,3,2,1,4,1,1
4,22,3659,3,4,3,1,4,4,1
1,44,1797,1,1,1,0,3,2,1
1,62,1744,3,1,3,0,1,2,1
1,10,1065,1,2,3,0,1,3,1
4,30,3845,3,4,5,1,4,2,1
4,61,150,2,2,3,1,3,4,1
3,64,541,1,5,3,1,5,3,0
4,44,425,3,4,4,1,4,5,1
3,56,845,1,3,3,0,1,4,0
3,24,3356,3,5,4,1,5,2,1
3,60,1670,1,3,3,1,5,4,0
2,51,594,1,3,2,1,4,1,0
2,53,2054,3,5,3,1,5,5,1
3,27,1237,2,3,5,0,4,4,1
1,39,3313,3,4,3,1,5,2,1
2,59,550,3,3,3,1,3,2,1
2,11,999,1,2,2,0,1,1,1
5,36,802,1,5,5,1,5,2,1
3,38,296,1,3,5,0,3,1,1
3,19,1020,2,3,5,1,1,4,0
4,13,2176,1,5,4,1,2,2,0
1,19,226,3,1,3,1,1,3,1
2,41,328,3,5,5,1,5,4,1
3,24,421,1,3,3,0,3,1,1
4,65,224,1,4,1,1,5,2,0
3,54,375,1,3,1,0,4,1,1
4,26,1303,2,4,2,0,4,3,1
2,29,1310,1,2,5,1,1,5,0
2,18,1219,1,2,2,0,2,5,1
1,34,781,3,1,2,1,4,4,1
0,22,413,2,0,4,1,3,5,1
3,50,2610,3,5,3,1,5,4,1
1,50,234,3,1,1,0,3,1,1
1,24,1617,3,5,1,1,5,1,1
1,55,563,1,3,4,1,3,1,0
2,48,399,1,2,5,1,2,3,0
5,49,3354,3,5,5,1,4,5,1
4,43,205,3,4,4,1,4,4,1
2,22,544,1,2,3,1,1,3,0
3,14,1498,1,3,5,0,1,3,1
5,38,954,3,2,4,1,5,4,1
4,48,1671,3,5,4,1,4,4,1
2,32,3488,3,5,2,1,5,3,1
2,20,583,1,2,2,0,5,1,1
2,64,836,1,2,3,1,2,2,0
2,43,468,3,3,1,1,2,2,1
5,61,329,1,5,5,1,5,1,1
4,30,2586,3,4,4,1,4,3,1
3,13,101,1,3,5,1,4,5,0
5,51,532,1,5,4,1,5,2,1
1,55,488,1,4,3,1,4,1,1
3,44,2059,3,4,4,1,5,5,1
5,36,239,1,5,3,1,5,2,1
2,39,1554,3,2,3,1,3,2,1
1,52,3195,3,4,4,1,3,4,1
2,15,1342,1,2,4,1,3,3,0
2,29,853,3,2,3,0,1,5,1
4,32,821,3,4,2,1,5,5,0
2,58,725,3,5,3,1,5,5,1
1,28,1020,1,2,3,1,1,5,1
3,53,588,1,4,4,1,3,3,0
4,22,397,3,4,1,1,4,4,1
1,42,1846,3,2,2,1,3,1,1
3,7,1258,1,3,5,1,4,4,0
4,43,867,3,5,5,1,5,5,1
3,49,2526,3,5,4,1,4,4,1
1,33,547,3,4,5,1,4,5,1
2,30,641,3,2,4,0,1,2,1
1,26,789,1,0,5,0,2,5,1
1,40,413,1,1,2,0,1,2,1
3,11,209,2,3,1,1,5,1,0
3,36,429,3,4,5,1,5,4,1
2,30,733,2,2,4,1,2,4,1
2,42,3339,3,4,4,1,5,5,1
3,55,1249,1,3,3,0,2,5,1
5,41,1214,3,5,5,0,1,4,1
3,56,366,1,3,2,1,4,2,0
2,41,1190,1,2,1,1,2,1,1
2,11,1598,1,2,3,1,2,2,0
4,52,89,1,5,3,1,5,4,0
5,50,2753,3,5,4,1,4,4,1
5,59,692,1,2,5,1,3,5,1
5,44,109,1,5,5,1,5,2,1
3,46,2736,3,4,5,1,4,5,1
3,21,1108,1,4,4,0,4,3,1
2,56,597,1,2,4,0,4,5,1
2,47,507,3,4,4,1,5,4,1
3,33,2367,3,2,4,1,2,3,1
2,49,2956,3,5,5,1,5,5,1
2,63,581,1,5,4,1,5,2,0
1,60,223,2,3,1,1,3,0,0
1,66,224,1,1,4,1,1,3,1
2,57,628,1,2,5,1,5,5,0
1,45,667,1,1,2,1,1,2,1
4,16,561,1,4,3,1,1,4,0
2,53,1532,3,4,4,1,4,3,1
0,25,1404,3,0,4,0,1,2,1
2,19,576,1,2,3,0,4,1,1
3,57,483,3,5,5,1,2,4,1
2,24,695,3,4,3,1,4,2,1
2,58,3629,3,5,4,1,5,4,1
3,23,3917,3,5,2,1,5,1,1
4,57,125,1,3,3,1,3,4,0
1,40,1635,1,2,5,1,1,3,0
4,55,683,3,4,3,1,4,5,1
2,39,936,3,4,5,1,4,5,1
2,30,472,2,2,3,1,4,2,0
1,53,639,1,1,5,1,3,3,0
1,15,308,2,1,5,1,3,5,0
2,20,1849,1,2,3,0,2,1,1
2,36,1065,1,2,2,1,2,3,1
4,48,576,1,4,4,1,5,4,0
2,50,689,1,2,4,1,1,3,0
2,33,409,3,2,1,1,2,5,1
2,37,265,1,2,4,0,5,3,1
0,32,1092,1,0,1,1,1,1,1
1,24,948,1,1,4,0,4,3,1
2,27,3984,3,5,3,1,5,2,1
0,40,1899,3,4,4,1,4,5,1
2,36,362,1,2,3,1,3,5,0
2,11,543,1,2,4,1,1,2,0
2,58,1009,1,2,1,1,2,5,0
3,15,2075,2,3,3,1,5,2,0
3,32,846,3,3,1,1,3,5,0
1,45,3914,3,5,3,1,5,5,1
4,28,1620,3,3,4,1,3,5,1
3,39,3755,3,5,5,1,5,5,1
2,29,189,3,2,4,0,2,4,1
1,33,3240,3,4,3,1,5,5,1
5,47,674,1,4,5,1,4,5,0
2,27,229,3,2,5,0,4,3,1
1,50,1046,2,1,1,0,2,1,1
3,54,1947,3,4,5,1,5,4,1
2,68,1020,1,2,1,1,3,2,0
4,22,221,1,4,3,1,4,3,1
2,11,312,1,2,4,1,1,5,0
2,51,1069,1,2,2,1,2,4,0
2,42,3828,3,5,3,1,5,4,1
1,50,3433,3,3,2,1,3,5,1
3,35,216,2,3,4,1,3,3,1
3,45,697,1,3,4,1,4,3,0
2,55,2235,3,5,5,1,5,5,1
4,51,457,3,4,4,1,4,4,1
1,42,602,1,3,3,1,4,1,1
1,47,967,3,4,4,1,5,4,1
1,23,3012,3,1,3,1,1,4,1
4,52,639,1,4,5,1,2,4,0
1,19,782,1,1,3,1,4,3,0
4,54,319,1,2,3,1,2,4,0
1,12,3326,3,4,4,1,4,5,1
0,54,1866,3,4,5,1,5,1,1
2,68,651,2,2,4,1,1,1,0
1,46,562,1,1,1,1,1,3,0
3,27,153,1,3,2,0,3,1,1
4,29,416,1,3,3,1,3,2,0
3,60,1546,1,3,1,1,2,5,0
4,56,1547,3,4,3,1,5,4,1
2,30,3720,3,3,3,1,2,4,1
4,44,1521,3,3,4,1,3,4,1
5,61,3850,3,5,4,1,4,5,1
5,37,2681,3,4,4,1,5,4,1
1,35,395,1,1,3,1,2,4,0
3,33,408,2,5,3,1,2,2,0
4,11,2475,1,5,3,1,3,4,0
2,31,1546,3,3,5,1,3,5,1
3,12,2807,3,4,4,1,4,3,1
4,58,651,3,5,3,1,5,4,1
4,51,404,3,4,5,1,4,5,1
2,21,121,1,2,3,0,1,1,1
2,51,1844,2,2,4,1,2,2,0
2,60,404,2,5,4,1,5,2,0
5,23,954,1,4,2,1,3,3,1
2,47,1304,1,4,3,1,5,2,0
1,54,2370,3,5,5,1,4,4,1
4,29,1590,3,4,5,0,3,2,1
3,67,1670,1,3,3,1,3,3,0
2,27,2677,3,5,5,1,5,3,1
1,44,957,1,1,1,1,1,3,1
5,47,1874,2,5,5,1,5,3,1
4,32,503,2,4,4,1,4,4,1
3,25,580,1,3,3,0,4,4,1
3,41,507,3,3,3,1,2,3,1
5,52,3345,3,4,4,1,4,4,1
3,67,287,1,3,4,1,5,4,0
3,44,547,1,3,2,1,1,4,0
1,42,198,1,4,3,1,5,1,0
1,50,641,1,4,5,1,4,1,0
2,53,2096,3,5,4,1,5,5,1
4,50,3938,3,4,3,1,5,4,1
1,28,522,1,1,3,1,3,2,0
3,44,1788,3,3,5,1,4,5,1
5,50,3845,3,5,5,1,5,4,1
2,29,1389,3,2,5,0,2,4,1
4,44,594,3,3,3,1,4,5,0
3,45,296,1,4,3,1,4,3,1
2,45,2374,3,5,3,1,4,4,1
1,56,1581,3,4,3,1,4,5,1
5,25,1521,3,4,4,0,4,5,1
2,56,2480,3,5,3,1,5,4,1
4,51,2263,3,4,3,1,4,4,1
1,70,868,1,1,2,1,1,1,0
3,30,679,1,3,4,0,2,1,1
2,34,861,1,2,5,1,5,3,0
2,70,888,2,2,4,1,3,1,0
1,52,3247,3,4,3,1,4,5,1
3,27,712,1,3,1,0,3,4,1
2,21,1452,3,4,3,1,3,4,1
5,29,351,2,5,5,1,4,3,0
4,39,140,3,4,4,0,2,4,1
1,50,3720,3,5,3,1,4,4,1
4,38,1121,3,4,3,0,3,4,1
3,37,101,1,3,3,1,3,1,1
3,51,1475,1,3,4,1,3,2,0
3,18,946,1,3,3,1,3,5,0
3,45,1744,1,3,2,1,4,5,1
3,33,483,1,3,3,1,5,5,0
1,51,3269,3,4,2,1,5,5,1
4,37,383,2,4,5,1,4,2,1
3,36,3341,3,4,4,1,3,3,1
4,42,236,1,2,2,1,2,4,0
2,56,447,3,5,4,1,5,5,1
2,57,2486,3,4,4,1,4,4,1
5,54,1605,1,2,3,1,3,5,0
5,27,259,3,5,3,0,3,2,1
3,27,896,1,3,3,0,2,5,1
3,23,1590,1,3,3,1,2,2,0
1,68,253,1,1,1,1,1,5,1
2,59,432,1,2,4,1,1,5,0
4,31,86,2,4,3,1,4,3,1
0,29,1522,3,0,3,0,3,2,1
5,51,2573,3,5,3,1,5,4,1
3,29,1501,1,3,4,0,1,2,1
3,44,995,1,3,3,0,3,3,1
1,41,2047,3,5,3,1,4,4,1
2,24,1204,1,2,4,0,2,4,1
2,55,507,3,4,4,1,5,5,1
2,57,432,2,4,4,1,4,2,0
2,28,833,1,2,3,1,4,4,0
4,20,911,3,4,3,1,1,4,0
2,41,2562,3,5,4,1,4,4,1
4,29,618,2,4,2,1,4,5,1
2,34,170,3,4,1,1,4,4,1
3,36,1249,1,2,3,0,3,4,1
1,56,2655,3,4,4,1,4,4,1
2,40,2561,3,4,5,1,5,4,1
3,34,3131,3,4,2,1,3,2,1
2,44,2951,3,4,3,1,5,5,1
2,25,735,3,3,2,0,4,2,1
4,22,190,1,4,4,0,3,1,1
1,22,944,1,1,5,0,1,1,1
2,44,282,3,2,1,0,2,3,1
5,44,399,1,5,1,1,5,3,1
1,40,2611,1,2,2,1,2,5,0
1,13,436,2,1,1,1,2,5,0
1,31,677,3,4,5,1,4,4,1
4,59,516,1,3,5,1,1,3,0
4,60,1050,1,5,3,1,5,4,0
3,52,334,1,3,2,1,3,1,1
5,40,630,3,4,4,1,5,4,1
1,71,239,1,1,4,1,1,3,1
2,48,1488,3,5,4,1,5,4,1
3,46,451,1,3,4,1,3,3,1
4,34,551,3,4,5,0,4,2,1
3,28,308,3,3,3,0,5,2,1
4,65,581,1,4,2,1,4,4,1
4,51,204,3,5,5,1,5,5,1
2,46,262,1,2,2,1,3,2,1
2,59,3380,3,3,1,1,3,1,1
5,45,3776,3,5,4,1,5,4,1
3,38,192,1,3,4,1,3,2,1
4,18,1096,1,4,3,1,1,5,0
1,27,1214,1,1,3,0,3,2,1
3,31,341,1,5,2,1,5,3,1
2,21,1303,1,2,4,1,4,3,0
2,46,1532,3,4,5,1,5,5,1
2,45,255,1,3,3,1,3,2,0
1,49,1144,1,4,4,1,4,1,0
3,36,429,1,3,2,1,3,1,0
1,56,867,2,1,4,1,5,3,0
5,34,2429,3,1,5,1,4,5,1
2,35,584,1,2,4,1,3,4,0
1,66,396,3,5,3,1,5,4,0
1,30,475,1,1,4,1,1,2,0
3,35,604,1,3,3,1,3,2,1
4,41,3965,3,4,4,1,4,3,1
5,45,417,3,4,3,1,4,4,1
1,47,137,1,1,2,1,2,5,0
1,24,1069,1,1,3,0,1,2,1
3,31,1744,2,3,3,1,5,5,0
5,44,3771,3,5,3,1,5,5,1
3,59,600,3,5,5,1,5,4,1
1,20,1384,1,1,1,1,2,2,0
3,22,2342,1,3,4,0,3,2,1
2,47,191,3,1,4,1,1,2,1
2,27,912,1,2,5,0,4,1,1
3,19,1670,3,3,2,1,3,5,0
3,55,748,1,3,1,1,2,3,0
3,53,524,1,3,4,1,4,3,1
5,28,312,3,5,4,1,5,3,1
1,33,3550,3,3,2,1,4,5,1
5,56,2565,3,5,3,1,5,5,1
2,37,334,3,2,3,0,2,5,1
2,57,2125,3,5,3,1,4,5,1
4,53,337,1,4,3,1,4,4,1
2,42,1086,3,5,4,1,5,5,1
2,20,770,1,2,3,0,5,2,1
3,32,316,3,2,4,0,4,3,1
2,42,761,3,2,4,0,2,3,1
1,45,397,1,1,1,1,5,2,0
4,47,2350,1,4,1,1,4,5,0
3,37,3391,3,4,1,1,4,3,1
1,47,3777,3,4,3,1,4,5,1
1,65,419,3,1,1,0,1,2,1
2,26,696,1,2,3,1,1,3,1
3,13,946,1,3,5,0,3,4,1
3,47,226,3,4,4,1,5,5,1
4,42,833,3,5,4,1,5,4,1
3,31,2548,3,3,2,1,3,5,1
2,40,787,2,2,3,1,2,4,0
